,,,,,,,,,,,,,,,,,
BEER,CATEGORY,DESCRIPTION,ABV,BREWED,PRICE,,,,,,,,,,,,
Virginia Beer,,,,,,,,,,,,,,,,,
,,,,,Small,Large,Growler,,,,,,,,,,
3 Brothers - Coffee Breath,Brown Ale,"With a caramel back and notes of plums and dark fruit, the base for this beer pairs perfectly with the Ethiopian Sidamo Guji beans that are locally roasted at Lucas Roasting Company.",3.80%,"Harrisonburg, VA",$4.00,$6.75,,,,,,,,,,,
3 Brothers - Great Outdoors Pale,Pale Ale,"Light, crisp, refreshing; all terms used to describe the newest addition to the brothers' line up.",4.80%,"Harrisonburg, VA",$4.00,$6.75,$15.00,,,,,,,,,,
3 Brothers - Elementary,Porter,"Elementary is a study in contradiction. The simplicity of a few ingredients yielding an incredibly complex beer. Tasting includes notes of dark chocolate, coffee, caramel and a roasty finish.",7.00%,"Harrisonburg, VA",$4.00,,$6.75,,,,,,,,,,
Legend Brewing - Lager,Lager (Light),Made from 100% malted barley giving it a malty aroma and medium light body. The addition of Hallertau and Saaz hops add a subtle balance.,4.50%,"Richmond, VA",$3.75,$6.50,$12.50,,,,,,,,,,
Blue Mountain - Red Zeppelin,Red Ale,Starts off with a perfect blend of hop aroma that mellows out cleanly into a strong malt profile before being hit with a crisp bitterness finish. You can't get much cleaner than this!,6.25%,"Afton, VA",$4.00,$6.75,$15.00,,,,,,,,,,
Blue Mountain - MacHayden's WeeHeavy,Scottish Ale,"A malt forward clone of the traditional Scottish 90 Shilling ale brewed with Pale, Crystal and Peated malts.",8.00%,"Afton, VA",$5.00,$8.00,$17.50,,,,,,,,,,
Blue Mountain - Dark Hollow,Stout,Brewed with Duvel Belgian yeast strain and aged carefully in Bourbon barrels until it is fully matured into the beer you should be drinking!,10.00%,"Afton, VA",$6.00,,,,,,,,,,,,
Port City Brewing - Essential Pale,Pale Ale,The pleasing bitter taste from American hops is balanced with English and German malts offering a complex full flavored character that is smooth and refreshing.,5.50%,"Alexandria, VA",$4.00,$6.75,$15.00,,,,,,,,,,
Devils Backbone - Vienna Lager,Lager,This 2009 two time Great American Beer Festival Silver Medal winner is amber colored lager medium in body with a finish that has hints of caramel and toasted nuts.,4.90%,"Roseland, VA",$4.00,$6.75,$15.00,,,,,,,,,,
Starr Hill - Pilsner,Pilsner,"Starr Pils is a classic German Pilsner. This beer is crafted with Pilsner malt, German hops and Bavarian lager yeast. It is golden in color with a subtle malt backbone and pleasant hop aroma ice.",4.20%,"Crozet, VA",$4.00,$6.75,$15.00,,,,,,,,,,
Starr Hill - Double Platinum IPA,IPA,"Double Platinum is dry hopped with Simcoe and Centennial hops to achieve a strong aroma of citrus and pine, balanced by a smooth, malty backbone.",8.60%,"Crozet, VA",$5.25,$8.25,$20.00,,,,,,,,,,
Wild Wolf Brewing - Pilsner,Pilsner,"Made locally, this golden colored lager is sure to leave you refreshed and satisfied, and coming back again for more!",5.70%,"Nellysford, VA",$4.00,$6.75,$15.00,,,,,,,,,,
Port City Brewing - Porter,Porter,This robust Porter shows bittersweet flavors of coffee and dark chocolate. It has a very complex malt character enhanced by yeast fruitiness and Magnum and Fuggles hops.,7.50%,"Alexandria, VA",$4.00,$6.75,$15.00,,,,,,,,,,
